,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,247540,KR7247540008,에코프로비엠,KOSDAQ,우량기업부,111500,1,1800,1.64,106800,111800,106700,802470,88277445200,10904849856000,97801344,KSQ
1,091990,KR7091990002,셀트리온헬스케어,KOSDAQ,우량기업부,67700,2,-1300,-1.88,67500,68100,66800,215046,14504454700,10713005199400,158242322,KSQ
2,066970,KR7066970005,엘앤에프,KOSDAQ,중견기업부,217000,1,1000,0.46,209100,218600,208200,346569,74556653200,7796726672000,35929616,KSQ
3,028300,KR7028300002,HLB,KOSDAQ,중견기업부,37800,2,-800,-2.07,37800,38150,37600,259742,9823126400,4040951581800,106903481,KSQ
4,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,138700,1,4100,3.05,131000,139400,130900,590658,80681507500,3474643604800,25051504,KSQ
5,293490,KR7293490009,카카오게임즈,KOSDAQ,우량기업부,37600,2,-1900,-4.81,38100,38700,37400,645255,24424181350,3093006794400,82260819,KSQ
6,263750,KR7263750002,펄어비스,KOSDAQ,우량기업부,43050,2,-1650,-3.69,44000,44650,43000,212144,9270789250,2765353557750,64235855,KSQ
7,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,66300,2,-1400,-2.07,66000,66600,65600,35629,2356495100,2498563037100,37685717,KSQ
8,278280,KR7278280003,천보,KOSDAQ,우량기업부,220200,1,5000,2.32,208900,220400,208900,43905,9561701400,2202000000000,10000000,KSQ
9,058470,KR7058470006,리노공업,KOSDAQ,우량기업부,138000,1,1400,1.02,136600,138500,134000,15032,2052265800,2103447060000,15242370,KSQ
10,253450,KR7253450001,스튜디오드래곤,KOSDAQ,우량기업부,67100,2,-1400,-2.04,67000,68200,67000,22872,1540570800,2013951813500,30014185,KSQ
11,035900,KR7035900000,JYP Ent.,KOSDAQ,우량기업부,53300,2,-2200,-3.96,54500,54800,52700,377866,20266838400,1892016323600,35497492,KSQ
12,112040,KR7112040001,위메이드,KOSDAQ,우량기업부,53600,2,-2100,-3.77,54500,55800,53100,1115345,60545525800,1811517163200,33796962,KSQ
