,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,59000,2,-600,-1.01,58600,59200,58100,11611113,679857307900,352217170450000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,589000,1,20000,3.51,560000,590000,557000,289712,167775504000,137826000000000,234000000,STK
2,207940,KR7207940008,삼성바이오로직스,KOSPI,,870000,2,-3000,-0.34,857000,876000,852000,30380,26189208000,61921380000000,71174000,STK
3,000660,KR7000660001,SK하이닉스,KOSPI,,83000,2,-1500,-1.78,82600,83500,81900,1771763,146538801500,60424196295000,728002365,STK
4,006400,KR7006400006,삼성SDI,KOSPI,,739000,1,14000,1.93,710000,741000,709000,248598,180307332000,50816987670000,68764530,STK
5,051910,KR7051910008,LG화학,KOSPI,,681000,1,9000,1.34,660000,682000,659000,180708,121633949000,48073385583000,70592343,STK
6,005935,KR7005931001,삼성전자우,KOSPI,,52900,2,-1200,-2.22,52900,53100,52600,524916,27733554900,43530706430000,822886700,STK
7,005380,KR7005380001,현대차,KOSPI,,161500,2,-3500,-2.12,162500,163000,160500,727499,117414647000,34507412200500,213668187,STK
8,035420,KR7035420009,NAVER,KOSPI,,168500,2,-5500,-3.16,168500,170500,166000,750647,126118204000,27642270822500,164049085,STK
9,000270,KR7000270009,기아,KOSPI,,64600,2,-1600,-2.42,65000,65600,64200,1513606,97916774000,26186472216200,405363347,STK
10,068270,KR7068270008,셀트리온,KOSPI,,185000,2,-2500,-1.33,183000,186000,181000,231036,42433812000,26046495210000,140791866,STK
11,028260,KR7028260008,삼성물산,KOSPI,,120500,1,1500,1.26,117000,121000,116500,258097,30765659500,22519893260500,186887081,STK
12,035720,KR7035720002,카카오,KOSPI,,49850,2,-2450,-4.68,50800,51200,49700,2853939,143360991050,22199284800850,445321661,STK
13,005490,KR7005490008,POSCO홀딩스,KOSPI,,261500,1,3000,1.16,253500,262000,252500,397517,101913419250,22115376645000,84571230,STK
14,012330,KR7012330007,현대모비스,KOSPI,,220000,1,1000,0.46,216500,221500,215500,191662,41979358500,20742720680000,94285094,STK
15,105560,KR7105560007,KB금융,KOSPI,,47350,2,-550,-1.15,47300,47500,46400,649146,30532421750,19361276169800,408897068,STK
