,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
4,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
5,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
6,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
7,META,Meta Platforms Inc Class A,소프트웨어 및 IT서비스,572010
8,PEP,PepsiCo Inc,음료,541010
9,COST,Costco Wholesale Corp,다양한 소매업,534020
10,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
11,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
12,TMUS,T-Mobile US Inc,통신 서비스,574010
13,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
14,AZN,AstraZeneca PLC ADR,제약,562010
15,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
16,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
17,AMGN,Amgen Inc,제약,562010
18,HON,Honeywell International Inc,복합 기업,544010
19,CMCSA,Comcast Corp Class A,통신 서비스,574010
20,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
21,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
22,INTC,Intel Corp,반도체 및 반도체 장비,571010
23,INTU,Intuit Inc,핀테크,573010
24,SNY,Sanofi SA ADR,제약,562010
25,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
26,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
27,GILD,Gilead Sciences Inc,제약,562010
28,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
29,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
30,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
31,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
32,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
33,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
34,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
35,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
36,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
37,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
38,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
39,FISV,Fiserv Inc,전문 및 상업 서비스,522030
40,CME,CME Group Inc Class A,투자은행 및 서비스,551020
41,CSX,CSX Corp,화물 및 물류 서비스,524050
42,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
43,JD,JD.Com Inc ADR Class A,다양한 소매업,534020
44,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
45,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
46,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
47,CHTR,Charter Communications Inc Class A,통신 서비스,574010
48,KDP,Keurig Dr Pepper Inc,음료,541010
49,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
50,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
51,PANW,Palo Alto Networks Inc,소프트웨어 및 IT서비스,572010
52,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
53,MNST,Monster Beverage Corp,음료,541010
54,TEAM,Atlassian Corp Class A,소프트웨어 및 IT서비스,572010
55,KHC,Kraft Heinz Co,식품 및 담배,541020
56,MELI,MercadoLibre Inc,소프트웨어 및 IT서비스,572010
57,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
58,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
59,KLAC,KLA Corp,반도체 및 반도체 장비,571010
60,AEP,American Electric Power Company Inc,전기 유틸리티,591010
61,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
62,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
63,CTAS,Cintas Corp,전문 및 상업 서비스,522030
64,PAYX,Paychex Inc,전문 및 상업 서비스,522030
65,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
66,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
67,ENPH,Enphase Energy Inc,재생에너지,502010
68,BIIB,Biogen Inc,제약,562010
69,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
70,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
71,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
72,EXC,Exelon Corp,전기 유틸리티,591010
73,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
74,XEL,Xcel Energy Inc,전기 유틸리티,591010
75,DLTR,Dollar Tree Inc,다양한 소매업,534020
76,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
77,BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
78,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
79,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
80,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
81,MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010
82,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
83,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
84,ROST,Ross Stores Inc,전문품 상점,534030
85,VOD,Vodafone Group PLC ADR,통신 서비스,574010
86,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
87,WBD,Warner Bros Discovery Inc Series A,미디어 및 출판,533020
88,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
89,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
90,CEG,Constellation Energy Corp,전기 유틸리티,591010
91,GFS,Globalfoundries Inc,반도체 및 반도체 장비,571010
92,RIVN,Rivian Automotive Inc Class A,자동차 및 자동차 부품,531010
93,NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
94,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
95,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
96,BKR,Baker Hughes Co Class A,오일 및 가스 장비 및 서비스,501030
97,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
98,FANG,Diamondback Energy Inc,오일 및 가스,501020
99,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
100,CPRT,Copart Inc,전문품 상점,534030
101,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
102,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
103,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
104,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
105,RPRX,Royalty Pharma PLC Class A,제약,562010
106,DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
107,GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
108,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
109,FITB,Fifth Third Bancorp,은행,551010
110,TSCO,Tractor Supply Co,전문품 상점,534030
111,WTW,Willis Towers Watson PLC,보험,553010
112,TROW,T Rowe Price Group Inc,투자은행 및 서비스,551020
113,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
114,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
115,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
116,LCID,Lucid Group Inc,자동차 및 자동차 부품,531010
117,HBAN,Huntington Bancshares Inc,은행,551010
118,PFG,Principal Financial Group Inc,투자은행 및 서비스,551020
119,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
120,CCEP,Coca-Cola Europacific Partners PLC,음료,541010
121,ULTA,Ulta Beauty Inc,전문품 상점,534030
122,ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
